address,alt_addr,used,type,class_,icon,latitude,longitude,found_country,country_code,country_name
"Tring, Herts",,1,,,,51.7940357,-0.6609205,True,GB,United Kingdom
Virginia,,1,,,,37.1232245,-78.4927721,True,US,United States
", Of Gloucester, England",,1,,,,51.9610563,-2.301999,True,GB,England
"Bristol, Gloucestershire, Eng",,1,,,,51.8527674,-2.2553694,True,GB,United Kingdom
"Briston, , , England",,1,,,,51.4538022,-2.5972985,True,GB,England
", St. Marys Co., MD",,1,,,,38.412926,-76.6077923,True,US,United States
"St. Mary'S Par., Maryland",,1,,,,39.5162401,-76.9382069,True,US,United States
", St Mary'S, MD",,1,,,,38.206621,-76.5389973,True,US,United States
Eng,,1,,,,52.5310214,-1.2649062,True,GB,United Kingdom
"Of, Gloucester, VA",,1,,,,37.5594972,-76.5679782,True,US,United States
"Norfolkshire, England",,1,,,,52.5310214,-1.2649062,True,GB,England
"Stone Edge, Lancashire, England",,1,,,,53.8633908,-2.2075841,True,GB,England
"Warner Hall, Gloucester, Virginia",,1,,,,37.3396678,-76.4746982,True,US,United States
"Linkenholt Manor, Hampshire, England",,1,,,,51.3181076,-1.4889138,True,GB,England
"Yorkco, VA",,1,,,,41.903411,12.4528527,True,VA,Civitas Vaticana - Città del Vaticano
"Of Elizabeth City Co., VA",,1,,,,41.903411,12.4528527,True,VA,Civitas Vaticana - Città del Vaticano
Will Processed,,1,,,,,,False,,
"Of York Co., VA",,1,,,,40.8672004,-73.9055107,True,US,United States
"York Co, , VA",,1,,,,37.2230374,-76.5156945,True,US,United States
"New Haven, New Haven, CT",,1,,,,41.2976052,-72.9265437,True,US,United States
"Wiltshire, , Eng",,1,,,,51.324162,-1.9032487,True,GB,United Kingdom
"Watertown, , Ma?",,1,,,,42.3652576,-71.1843234,True,US,United States
"Wilshire, England",,1,,,,51.449247,-2.5089459,True,GB,England
"Salisbury, Massachusetts",,1,,,,42.8418855,-70.8602328,True,US,United States
"New Haven, New Haven Co., Connecticut",,1,,,,41.317081,-72.9401956,True,US,United States
"New Haven, Connecticut",,1,,,,41.3082138,-72.9250518,True,US,United States
"Springfield, , Massachusetts",,1,,,,42.1018764,-72.5886727,True,US,United States
"Springfield, Hampden, MA",,1,,,,42.1018764,-72.5886727,True,US,United States
"Boveney, , , Eng",,1,,,,51.4910492,-0.6507385,True,GB,United Kingdom
